,id,name,market_cap,market_cap_change_24h,content,top_3_coins,volume_24h,updated_at
0,layer-1,Layer 1 (L1),786849933942.4838,-1.6632006461489581,,"['https://assets.coingecko.com/coins/images/1/small/bitcoin.png?1547033579', 'https://assets.coingecko.com/coins/images/279/small/ethereum.png?1595348880', 'https://assets.coingecko.com/coins/images/825/small/bnb-icon2_2x.png?1644979850']",21332503170.043396,2023-08-25T20:45:21.765Z
1,smart-contract-platform,Smart Contract Platform,303787200971.89087,-1.840547976035976,"Smart contract platforms are usually blockchains that host smart contracts or decentralized applications. Users can interact with different smart contracts on these platforms to perform various actions such as lending and borrowing funds, staking their assets or minting NFTs.

Smart contracts are programs that are stored on the blockchain and are automatically executed when certain conditions are met. To interact with these smart contracts, transaction fees may need to be paid and the amount and asset required will vary based on the platform’s architecture. Usually, the smart contract platform’s native token is used to pay for transaction fees. Some popular examples of smart contract platforms include Ethereum, Solana and Polygon.","['https://assets.coingecko.com/coins/images/279/small/ethereum.png?1595348880', 'https://assets.coingecko.com/coins/images/825/small/bnb-icon2_2x.png?1644979850', 'https://assets.coingecko.com/coins/images/975/small/cardano.png?1547034860']",10160507609.730434,2023-08-25T20:45:06.240Z
2,stablecoins,Stablecoins,124126937922.20775,0.10309965214962745,,"['https://assets.coingecko.com/coins/images/325/small/Tether.png?1668148663', 'https://assets.coingecko.com/coins/images/6319/small/USD_Coin_icon.png?1547042389', 'https://assets.coingecko.com/coins/images/9956/small/Badge_Dai.png?1687143508']",27209253987.525333,2023-08-25T20:45:05.867Z
3,alleged-sec-securities,Alleged SEC Securities,82301988847.46825,-1.4966373301180877,"Tokens and cryptocurrencies alleged to be securities by the U.S. Securities and Exchange Commission (SEC). 

Note: The labeling of these cryptocurrencies as securities by the SEC doesn't equate to the legal classification till proven in a court.","['https://assets.coingecko.com/coins/images/825/small/bnb-icon2_2x.png?1644979850', 'https://assets.coingecko.com/coins/images/975/small/cardano.png?1547034860', 'https://assets.coingecko.com/coins/images/4128/small/solana.png?1640133422']",4383713900.024416,2023-08-25T20:45:03.467Z
4,exchange-based-tokens,Exchange-based Tokens,52905133114.830414,-0.5543147188094867,"These tokens are normally associated with both centralized and decentralized exchanges and have different purposes. For centralized exchanges, these tokens usually serve to lower trading fees for users. Traders get to enjoy discounted rates when they hold a certain amount of these tokens and even unlock special benefits such as free withdrawals and airdrops. On the other hand, these tokens also function as a governance token for decentralized exchanges. Users can vote on proposals to shape the direction of the protocol based on the number of tokens held. They can also be staked to accrue trading fees.","['https://assets.coingecko.com/coins/images/825/small/bnb-icon2_2x.png?1644979850', 'https://assets.coingecko.com/coins/images/8418/small/leo-token.png?1558326215', 'https://assets.coingecko.com/coins/images/12504/small/uni.jpg?1687143398']",937287839.5380628,2023-08-25T20:45:08.894Z
5,centralized-exchange-token-cex,Centralized Exchange (CEX),45422953477.52721,-0.052276720197314205,"These utility tokens are issued by a centralized exchange and can be used for a variety of purposes. Although holders are not able to exercise governance, they still carry many other benefits. Based on the amount of tokens held, users on the exchange get to enjoy discounted trading fees. Additionally, stakers can gain access to exclusive token sales on the exchange, where their allocation is also determined based on the number of exchange tokens staked.","['https://assets.coingecko.com/coins/images/825/small/bnb-icon2_2x.png?1644979850', 'https://assets.coingecko.com/coins/images/8418/small/leo-token.png?1558326215', 'https://assets.coingecko.com/coins/images/4463/small/WeChat_Image_20220118095654.png?1642471050']",480927301.5208959,2023-08-25T20:45:17.615Z
6,decentralized-finance-defi,Decentralized Finance (DeFi),42577888602.82953,-2.57394716939448,,"['https://assets.coingecko.com/coins/images/13442/small/steth_logo.png?1608607546', 'https://assets.coingecko.com/coins/images/9956/small/Badge_Dai.png?1687143508', 'https://assets.coingecko.com/coins/images/12504/small/uni.jpg?1687143398']",33916304605.681717,2023-08-25T20:45:11.497Z
7,liquid-staking-tokens,Liquid Staking Tokens,16296274872.065033,0.5552195899815187,,"['https://assets.coingecko.com/coins/images/13442/small/steth_logo.png?1608607546', 'https://assets.coingecko.com/coins/images/20764/small/reth.png?1637652366', 'https://assets.coingecko.com/coins/images/28284/small/frxETH_icon.png?1679886981']",39248845.52502516,2023-08-25T20:45:24.590Z
8,meme-token,Meme,14824351236.338219,-2.826238109878418,"Meme coins derive their relevance from memes, thriving on hype and picking up momentum as the community grows.","['https://assets.coingecko.com/coins/images/5/small/dogecoin.png?1547792256', 'https://assets.coingecko.com/coins/images/11939/small/shiba.png?1622619446', 'https://assets.coingecko.com/coins/images/29850/small/pepe-token.jpeg?1682922725']",762975875.7556963,2023-08-25T20:45:19.472Z
9,eth-2-0-staking,Eth 2.0 Staking,14367448719.399805,0.9001779400453093,"In Ethereum 2.0, the consensus algorithm is transitioned from Proof-of-Work to Proof-of-Stake, allowing users to stake their Ether and validate transactions in exchange for staking rewards. When you participate in ETH 2.0 staking solutions, you will usually receive a token which represents your staked assets but are also liquid and can be used in other protocols. Here, you can find different tokens which represent staked Ether from various protocols.","['https://assets.coingecko.com/coins/images/13442/small/steth_logo.png?1608607546', 'https://assets.coingecko.com/coins/images/27008/small/cbeth.png?1661390066', 'https://assets.coingecko.com/coins/images/4324/small/U85xTl2.png?1608111978']",38753933.425047584,2023-08-25T20:45:19.159Z
10,governance,Governance,11868168167.993383,-3.3631337205034355,"Governance tokens are used to determine the direction or decisions taken by a protocol. A protocol’s team or even its community members can create proposals to introduce new features or even change the terms of governance itself. Once a proposal has been discussed and further fleshed out, token holders can vote on the decision to be made. The weight of your votes is determined based on the number of governance tokens held. ","['https://assets.coingecko.com/coins/images/12504/small/uni.jpg?1687143398', 'https://assets.coingecko.com/coins/images/14495/small/Internet_Computer_logo.png?1620703073', 'https://assets.coingecko.com/coins/images/1364/small/Mark_Maker.png?1585191826']",602046620.6338139,2023-08-25T20:45:09.286Z
11,non-fungible-tokens-nft,NFT,11436527946.481892,-1.7855837884645458,"Non-fungible tokens, or NFTs, are collectible elements within the Ethereum blockchain that usually follow the ERC-721 or ERC-1155 standard. They represent something unique and therefore are not mutually interchangeable. In other words, no non-fungible token is the same. NFTs take advantage of innovative smart contract technology to store and record unique information on the blockchain, which means that whenever an NFT is created, only one of it verifiably exists. NFT creators can also encrypt details such as rich metadata or secure file links allowing people to create all sorts of digital assets which are verifiable such as videos and songs. With NFTs, one can digitally certify that an asset is authentic.","['https://assets.coingecko.com/coins/images/14495/small/Internet_Computer_logo.png?1620703073', 'https://assets.coingecko.com/coins/images/12129/small/sandbox_logo.jpg?1597397942', 'https://assets.coingecko.com/coins/images/2538/small/theta-token-logo.png?1548387191']",1098804620.2986465,2023-08-25T20:45:18.595Z
12,binance-launchpad,Binance Launchpad,10276044151.851992,-2.893287598986643,"Tokens and coins launched on Binance Launchpad, a platform that assists blockchain and crypto startups in raising funds.","['https://assets.coingecko.com/coins/images/4713/small/matic-token-icon.png?1624446912', 'https://assets.coingecko.com/coins/images/12129/small/sandbox_logo.jpg?1597397942', 'https://assets.coingecko.com/coins/images/12335/small/egld-token-logo.png?1673490885']",571741536.1363621,2023-08-25T20:45:01.110Z
13,layer-2,Layer 2 (L2),10007297184.742817,-2.7672403320214927,,"['https://assets.coingecko.com/coins/images/4713/small/matic-token-icon.png?1624446912', 'https://assets.coingecko.com/coins/images/30980/small/token-logo.png?1689320029', 'https://assets.coingecko.com/coins/images/16547/small/photo_2023-03-29_21.47.00.jpeg?1680097630']",609291691.7361966,2023-08-25T20:45:25.628Z
14,decentralized-exchange,Decentralized Exchange (DEX),7868486779.525782,-3.6011895773861804,"Decentralized exchanges, or DEXs, allow users to trade with one another in a permissionless manner and without any intermediaries. As long as someone provides liquidity, anyone can purchase and sell that token on the exchange. Besides its use case in dictating governance decisions, DEX tokens usually seek to capture value for the holders by diverting some of the transaction fees to stakers. ","['https://assets.coingecko.com/coins/images/12504/small/uni.jpg?1687143398', 'https://assets.coingecko.com/coins/images/3406/small/SNX.png?1598631139', 'https://assets.coingecko.com/coins/images/6595/small/Rune200x200.png?1671179394']",466298573.9893758,2023-08-25T20:45:03.819Z
15,gaming,Gaming (GameFi),7454088245.488137,-3.223757515891681,,"['https://assets.coingecko.com/coins/images/14495/small/Internet_Computer_logo.png?1620703073', 'https://assets.coingecko.com/coins/images/12129/small/sandbox_logo.jpg?1597397942', 'https://assets.coingecko.com/coins/images/13029/small/axie_infinity_logo.png?1604471082']",949806504.6357208,2023-08-25T20:45:10.019Z
16,zero-knowledge-zk,Zero Knowledge (ZK),7293879451.692623,-2.195629713629614,"Zero-knowledge proof or Zero-knowledge protocol is a method by which one party (the prover) can prove to another party (the verifier) that a given statement is true while the prover avoids conveying any additional information apart from the fact that the statement is indeed true.

This category tracks cryptocurrency that utilises Zero Knowledge implementation to execute transactions, which may include smart contract execution, value transfer, and others.","['https://assets.coingecko.com/coins/images/4713/small/matic-token-icon.png?1624446912', 'https://assets.coingecko.com/coins/images/17233/small/immutableX-symbol-BLK-RGB.png?1665110648', 'https://assets.coingecko.com/coins/images/15628/small/JM4_vQ34_400x400.png?1621394004']",332785456.7549055,2023-08-25T20:45:26.509Z
17,yield-farming,Yield Farming,7205149452.769344,-3.3346525237448987,"Yield farming is the act of staking or lending your assets in yield-farming protocols to earn a reward, usually in the form of the protocol’s governance token. For decentralized exchanges, yield farmers usually provide a pair of assets as liquidity for the exchange. They will then receive LP tokens, which represent their share of the liquidity pool and these can then be staked to yield-farm the exchange’s native token. Some protocols also offer single-sided staking, where only one particular asset is required to begin yield farming.","['https://assets.coingecko.com/coins/images/12504/small/uni.jpg?1687143398', 'https://assets.coingecko.com/coins/images/12645/small/AAVE.png?1601374110', 'https://assets.coingecko.com/coins/images/3406/small/SNX.png?1598631139']",408461537.3354188,2023-08-25T20:45:12.902Z
18,metaverse,Metaverse,5869717915.747968,-2.7618636863299866,The metaverse refers to a digital world where participants can interact with each other in a shared virtual reality.,"['https://assets.coingecko.com/coins/images/14495/small/Internet_Computer_logo.png?1620703073', 'https://assets.coingecko.com/coins/images/12129/small/sandbox_logo.jpg?1597397942', 'https://assets.coingecko.com/coins/images/13029/small/axie_infinity_logo.png?1604471082']",291047736.3891837,2023-08-25T20:45:17.945Z
19,automated-market-maker-amm,Automated Market Maker (AMM),5422051139.577364,-3.8257578163645665,"Automated market makers (AMMs) are a mechanism used by most decentralized exchanges to facilitate permissionless trading. AMMs make use of liquidity pools containing 2 or more assets, and prices are derived based on the proportion of each asset in that pool as well as the mathematical function used. Orders through an AMM are executed automatically via a smart contract that will calculate the trade prices algorithmically, including any slippage from the trade execution.","['https://assets.coingecko.com/coins/images/12504/small/uni.jpg?1687143398', 'https://assets.coingecko.com/coins/images/12124/small/Curve.png?1597369484', 'https://assets.coingecko.com/coins/images/12632/small/pancakeswap-cake-logo_%281%29.png?1629359065']",227267820.9714725,2023-08-25T20:45:13.936Z
20,depin,DePIN,5049869356.738644,0.16467082000499947,,"['https://assets.coingecko.com/coins/images/12817/small/filecoin.png?1602753933', 'https://assets.coingecko.com/coins/images/2538/small/theta-token-logo.png?1548387191', 'https://assets.coingecko.com/coins/images/11636/small/rndr.png?1638840934']",272540396.5101577,2023-08-25T20:45:00.763Z
21,play-to-earn,Play To Earn,4954137700.290497,-1.0938629102701303,"Play to Earn games are built on the blockchain, giving players full control over their gaming accounts and related assets, which they can sell on exchanges or secondary marketplaces.","['https://assets.coingecko.com/coins/images/12129/small/sandbox_logo.jpg?1597397942', 'https://assets.coingecko.com/coins/images/13029/small/axie_infinity_logo.png?1604471082', 'https://assets.coingecko.com/coins/images/17233/small/immutableX-symbol-BLK-RGB.png?1665110648']",759332404.068024,2023-08-25T20:45:20.529Z
22,privacy-coins,Privacy Coins,4775477661.140835,-2.2753514605413105,"Privacy coins are cryptocurrencies which allow users to conduct transactions privately and anonymously. This ensures the identity of the parties involved are kept private, and ensures the transactions are untraceable.This is done by hiding the origin and destination of transactions. In some cases, multiple transactions are mixed together in order to make onchain analysis tougher. ","['https://assets.coingecko.com/coins/images/69/small/monero_logo.png?1547033729', 'https://assets.coingecko.com/coins/images/19/small/dash-logo.png?1548385930', 'https://assets.coingecko.com/coins/images/14051/small/Mask_Network.jpg?1614050316']",189416452.7358387,2023-08-25T20:45:09.645Z
23,wrapped-tokens,Wrapped-Tokens,4310021229.099421,-1.4814986858936334,"Wrapped tokens offer a way to circumvent the lack of interoperability between different blockchains. The wrapping of a token happens when the original asset is put into a “wrapper” and deployed on a different blockchain. With it being wrapped, the cryptocurrency can now be used on a blockchain where it previously wasn’t available. One example of a wrapped token would be Wrapped Bitcoin (WBTC). It is an ERC-20 version of Bitcoin, which allows it to be used on protocols based on Ethereum. Watch this video to learn more about Wrapped tokens.","['https://assets.coingecko.com/coins/images/7598/small/wrapped_bitcoin_wbtc.png?1548822744', 'https://assets.coingecko.com/coins/images/11890/small/wNXM.png?1674799594', 'https://assets.coingecko.com/coins/images/11370/small/Bitcoin.jpg?1628072791']",841000078.3378876,2023-08-25T20:45:16.975Z
24,storage,Storage,4032113128.560794,-4.097937773398154,"Storage protocols allow users to store their data on the blockchain network in a decentralized manner. This negates the need for a centralized storage host such as Amazon, OneDrive, DropBox, and others. This removes the issue of a single point of failure. Decentralized servers make use of independent nodes which in turn use spare storage space on computers. Users are able to rent out their spare storage on  In exchange for storage space, users are able to use a storage protocol’s token to pay for the service.","['https://assets.coingecko.com/coins/images/14495/small/Internet_Computer_logo.png?1620703073', 'https://assets.coingecko.com/coins/images/12817/small/filecoin.png?1602753933', 'https://assets.coingecko.com/coins/images/4343/small/oRt6SiEN_400x400.jpg?1591059616']",277585993.02067447,2023-08-25T20:45:12.184Z
25,oracle,Oracle,3878169446.7192087,-5.548682107489376,"Oracles are used by protocols in their smart contracts in order to obtain external data. This allows the closed-off blockchain environment to communicate with data points on the outside world. For example, a protocol offering synthetic Nasdaq-listed stock on the blockchain will need to pull external data from the stock market. With an oracle, the protocol will be able to do so. ","['https://assets.coingecko.com/coins/images/877/small/chainlink-new-logo.png?1547034700', 'https://assets.coingecko.com/coins/images/9545/small/Band_token_blue_violet_token.png?1625881431', 'https://assets.coingecko.com/coins/images/10951/small/UMA.png?1586307916']",248712063.91240683,2023-08-25T20:45:11.845Z
26,finance-banking,Finance / Banking,3603327010.347107,-1.7800980617891797,,"['https://assets.coingecko.com/coins/images/2912/small/xdc-icon.png?1633700890', 'https://assets.coingecko.com/coins/images/9761/small/kava.png?1663638871', 'https://assets.coingecko.com/coins/images/10643/small/ceth.png?1687143191']",36964383060.10903,2023-08-25T20:45:00.160Z
27,liquid-staking-governance-tokens,Liquid Staking Governance Tokens,2710065467.21175,-5.125148490280511,,"['https://assets.coingecko.com/coins/images/13573/small/Lido_DAO.png?1609873644', 'https://assets.coingecko.com/coins/images/2090/small/rocket_pool_%28RPL%29.png?1637662441', 'https://assets.coingecko.com/coins/images/13423/small/Frax_Shares_icon.png?1679886947']",78770103.38359961,2023-08-25T20:45:24.251Z
28,asset-backed-tokens,Asset-backed Tokens,2618584900.650379,-2.0826909071075987,,"['https://assets.coingecko.com/coins/images/9519/small/paxgold.png?1687143101', 'https://assets.coingecko.com/coins/images/10481/small/Tether_Gold.png?1668148656', 'https://assets.coingecko.com/coins/images/10643/small/ceth.png?1687143191']",36938905527.388504,2023-08-25T20:45:07.900Z
